Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
77370299R-115,2,51,2024-11-04 15:20:00,2024-11-04 15:30:00,2024-11-04 14:20:00+00:00,2024-11-04 14:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,52,2024-11-04 15:30:00,2024-11-04 15:40:00,2024-11-04 14:30:00+00:00,2024-11-04 14:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,53,2024-11-04 15:40:00,2024-11-04 15:50:00,2024-11-04 14:40:00+00:00,2024-11-04 14:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,54,2024-11-04 15:50:00,2024-11-04 16:00:00,2024-11-04 14:50:00+00:00,2024-11-04 15:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,55,2024-11-04 16:00:00,2024-11-04 16:10:00,2024-11-04 15:00:00+00:00,2024-11-04 15:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,56,2024-11-04 16:10:00,2024-11-04 16:20:00,2024-11-04 15:10:00+00:00,2024-11-04 15:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,57,2024-11-04 16:20:00,2024-11-04 16:30:00,2024-11-04 15:20:00+00:00,2024-11-04 15:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,58,2024-11-04 16:30:00,2024-11-04 16:40:00,2024-11-04 15:30:00+00:00,2024-11-04 15:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,59,2024-11-04 16:40:00,2024-11-04 16:50:00,2024-11-04 15:40:00+00:00,2024-11-04 15:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,60,2024-11-04 16:50:00,2024-11-04 17:00:00,2024-11-04 15:50:00+00:00,2024-11-04 16:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,61,2024-11-04 17:00:00,2024-11-04 17:10:00,2024-11-04 16:00:00+00:00,2024-11-04 16:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,62,2024-11-04 17:10:00,2024-11-04 17:20:00,2024-11-04 16:10:00+00:00,2024-11-04 16:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,63,2024-11-04 17:20:00,2024-11-04 17:30:00,2024-11-04 16:20:00+00:00,2024-11-04 16:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
